notion_draft,title,format,goal,goal_backfilled,match_confidence,posted,impressions,reach,engagements,ratio_vs_format_median,grade_written,grade_if_confirmed,post_url,export_snapshot
https://app.notion.com/p/3b5d3699c2db81a1a1fae5bcda1574e9,RevGenius pre (value moved),pre,engagement,False,medium,2026-08-12,350,250,10,1.82,hit,,https://www.linkedin.com/posts/alexyedi_gtm-2024-2026-where-the-value-moved-ugcPost-7493375381773688832-sy12,export 2026-08-27
https://app.notion.com/p/3b5d3699c2db81e98bfcff1ac8fc8808,UW Aug 11-14,roundup,reach,False,low,2026-08-10,197,128,1,0.72,pending,miss,https://www.linkedin.com/posts/alexyedi_even-in-new-york-things-get-a-little-slower-share-7492654279648858112-odCq,export 2026-08-27
https://app.notion.com/p/3bbd3699c2db8179bfffc2d724b5bcd4,RevGenius IRL post,post,engagement,False,high,2026-08-13,293,220,2,0.33,miss,,https://www.linkedin.com/posts/alexyedi_revgenius-buyside-inversion-ugcPost-7493691637777379328-tCrh,export 2026-08-27
https://app.notion.com/p/3c4d3699c2db811e9427d033c25ef44c,UW Aug 24-27,roundup,reach,False,confirmed,2026-08-24,150,85,3,0.55,miss,,https://www.linkedin.com/posts/alexyedi_nycai-agenticnyc-share-7497657322035437568-_RXg,export 2026-08-27
https://app.notion.com/p/3c7d3699c2db81c29e96f2ab155d3b52,Shortlist Aug Showcase recap,post,reach,False,high,2026-08-25,1121,787,12,3.53,hit,,https://www.linkedin.com/posts/alexyedi_shortlist-carousel-ugcPost-7498080620431007747-OjUv,export 2026-08-27
https://app.notion.com/p/3c9d3699c2db81faa53ee2b8ce079ab0,Evals + AI Slop (two rooms) pre,pre,reach,False,exact,2026-08-27,119,74,4,0.31,miss,,https://www.linkedin.com/posts/alexyedi_two-rooms-ugcPost-7498804571729854464-0Ub8,export 2026-09-14
https://app.notion.com/p/3cad3699c2db8145a568dbe7071edc9b,GTM Leaders Vol.1 recap,post,reach,False,exact,2026-08-28,238,151,7,0.75,miss,,https://www.linkedin.com/posts/alexyedi_gtm-slop-carousel-ugcPost-7499111041809694721-L_aq,export 2026-09-14
https://app.notion.com/p/3cbd3699c2db818fa5e2f64363adb531,Voice AI pre,pre,reach,False,exact,2026-09-01,448,290,4,1.16,partial,,https://www.linkedin.com/posts/alexyedi_voice-agent-event-3-pdf-ugcPost-7500581974257025025-E8XO,export 2026-09-14
https://app.notion.com/p/3cdd3699c2db819a8c00d514e65c121a,UW Sep 1-3,roundup,reach,False,exact,2026-08-31,299,215,4,1.1,partial,,https://www.linkedin.com/posts/alexyedi_a-voice-agent-panel-a-teardown-of-a-company-share-7500248629547417600-2RJc,export 2026-09-14
https://app.notion.com/p/3cfd3699c2db816bad1cd1686ccf8e62,Voice AI post,post,reach,False,exact,2026-09-02,286,173,3,0.9,partial,,https://www.linkedin.com/posts/alexyedi_voice-ai-3-post-post-ugcPost-7500973375435984896-KgGj,export 2026-09-14
https://app.notion.com/p/3d5d3699c2db81abaad0edc2ce658411,UW Sept 8-11,roundup,reach,False,exact,2026-09-08,184,130,1,0.68,miss,,https://www.linkedin.com/posts/alexyedi_the-best-ai-rooms-in-nyc-this-week-arent-share-7503146048241029121-1Yqa,export 2026-09-14
https://app.notion.com/p/3d5d3699c2db81aabecff367aa49346c,GLM-5.3 briefing,post,reach,False,exact,2026-09-09,133,97,1,0.42,miss,,https://www.linkedin.com/posts/alexyedi_glm-53-ugcPost-7503469074841239553-U9SX,export 2026-09-14
https://app.notion.com/p/3d7d3699c2db81df8e1ff6c502d9bf4d,Daytona synthesis (Sep),post,reach,False,exact,2026-09-10,438,285,13,1.38,hit,,https://www.linkedin.com/posts/alexyedi_daytona-ugcPost-7503843894598729730-jedK,export 2026-09-14
https://app.notion.com/p/3dad3699c2db8110a08cccf23ab084e1,UW Sept 14-17,roundup,reach,False,fresh,,,,,,pending,,,

# medians (impressions, engagements, n): {"pre": [386.0, 5.5, 6], "post": [318, 6, 15], "roundup": [272, 3, 9]}  | bands: hit>=1.25x, partial 0.75-1.25x, miss<0.75x | grading rule + goal backfill approved by Alex 2026-09-14
